iter	RMSE
0	75965.1433
1	74175.90277
2	72342.45863
3	70566.06994
4	68874.26355
5	67240.49976
6	65688.48378
7	64119.00635
8	62786.67096
9	61351.02071
10	60006.56212
11	58625.86776
12	57398.82516
13	56150.62466
14	54894.15607
15	53758.8934
16	52677.73707
17	51708.88341
18	50819.34326
19	49868.83679
20	48846.55823
21	48001.43615
22	47128.54395
23	46310.40783
24	45474.88477
25	44698.09896
26	44024.32916
27	43287.80407
28	42635.96761
29	41935.52175
30	41290.41722
31	40599.93103
32	39954.26971
33	39325.00599
34	38817.3194
35	38264.70856
36	37739.68181
37	37174.30737
38	36663.47631
39	36201.88118
40	35801.84937
41	35343.85172
42	34874.30834
43	34536.53489
44	34178.32759
45	33783.50396
46	33441.38943
47	33070.98662
48	32716.38887
49	32363.03822
50	32046.477
51	31735.41247
52	31463.30378
53	31240.21424
54	30901.88929
55	30633.25682
56	30364.6869
57	30095.96792
58	29870.25787
59	29609.57847
60	29350.5203
61	29110.28394
62	28821.44728
63	28595.7248
64	28371.47151
65	28136.19279
66	27881.94106
67	27715.28604
68	27542.80725
69	27386.00166
70	27236.59573
71	27119.15606
72	26968.81126
73	26800.74568
74	26637.92164
75	26429.20658
76	26239.35838
77	26212.44474
78	26179.42807
79	26024.88063
80	25882.27651
81	25718.98026
82	25579.57879
83	25410.79229
84	25275.71525
85	25151.15283
86	25026.62069
87	24876.70488
88	24768.59358
89	24665.22206
90	24539.97491
91	24419.16542
92	24348.06663
93	24218.51353
94	24080.47387
95	24063.94797
96	23951.26947
97	23804.25883
98	23688.87549
99	23586.72076
100	23483.0108
101	23435.00125
102	23325.9173
103	23234.39689
104	23159.5914
105	23079.37682
106	22984.95547
107	22897.18436
108	22822.18767
109	22772.69623
110	22702.175
111	22604.68845
112	22526.59692
113	22425.68587
114	22345.4648
115	22248.76764
116	22190.79202
117	22103.81604
118	22035.04524
119	21962.01136
120	21914.66681
121	21826.78795
122	21759.56004
123	21673.86322
124	21619.1383
125	21551.0076
126	21493.87926
127	21440.54022
128	21365.67414
129	21285.06784
130	21261.93157
131	21224.12729
132	21169.85102
133	21129.43076
134	21063.45509
135	20978.37352
136	20872.43698
137	20824.36356
138	20755.58122
139	20701.34474
140	20641.08593
141	20576.3045
142	20527.88219
143	20445.87109
144	20401.60651
145	20350.60679
146	20277.35255
147	20241.93414
148	20178.62047
149	20117.85869
150	20071.54189
151	19987.29781
152	19959.93411
153	19887.69896
154	19857.72894
155	19785.76832
156	19706.73797
157	19662.61567
158	19604.21494
159	19565.94558
160	19547.50128
161	19475.83363
162	19429.43328
163	19373.68638
164	19314.13723
165	19278.795
166	19230.99631
167	19166.31082
168	19111.23352
169	19061.21262
170	19007.7276
171	18966.6445
172	18940.64603
173	18887.59131
174	18847.78354
175	18789.08704
176	18735.50285
177	18700.19942
178	18639.09471
179	18580.67213
180	18528.98128
181	18515.55088
182	18477.89713
183	18437.80794
184	18385.04198
185	18335.25779
186	18281.42596
187	18231.31359
188	18218.5142
189	18208.33551
190	18171.60958
191	18120.09699
192	18100.63237
193	18069.14157
194	18022.09051
195	18008.09815
196	17980.29927
197	17947.14833
198	17900.11884
199	17866.59799
200	17814.00408
201	17768.88184
202	17737.37117
203	17687.55862
204	17656.3555
205	17638.03143
206	17596.68544
207	17546.42642
208	17531.86598
209	17491.03829
210	17455.73011
211	17396.7792
212	17364.97257
213	17331.66701
214	17287.41404
215	17248.43983
216	17207.03464
217	17158.34156
218	17115.5955
219	17085.90545
220	17076.35447
221	17039.66779
222	17013.13443
223	16980.40128
224	16951.1666
225	16936.68873
226	16904.5525
227	16841.8383
228	16801.95658
229	16766.71877
230	16754.06579
231	16701.36392
232	16669.42997
233	16660.02286
234	16635.97408
235	16597.54921
236	16565.79198
237	16548.21645
238	16503.02051
239	16474.17361
240	16442.6836
241	16432.54516
242	16413.93901
243	16381.67043
244	16349.65402
245	16309.75765
246	16286.40165
247	16244.74602
248	16207.39288
249	16172.5543
250	16115.02534
251	16082.32032
252	16038.96739
253	16006.54834
254	15997.39519
255	15965.66401
256	15924.8674
257	15898.12519
258	15846.88136
259	15819.52577
260	15774.85078
261	15752.06421
262	15719.6249
263	15708.25374
264	15692.72728
265	15683.24274
266	15642.01083
267	15617.11816
268	15601.52434
269	15596.41109
270	15562.40519
271	15549.14587
272	15535.88264
273	15522.09153
274	15493.17215
275	15446.06909
276	15435.8199
277	15424.7571
278	15385.02418
279	15358.10409
280	15322.95624
281	15286.59846
282	15244.58868
283	15200.57247
284	15190.59924
285	15146.23293
286	15116.42296
287	15089.08883
288	15050.01168
289	15022.46078
290	14968.81155
291	14957.28229
292	14916.86942
293	14902.80328
294	14863.21462
295	14820.90936
296	14779.43323
297	14755.04468
298	14738.63447
299	14706.34627
300	14668.50521
301	14621.73296
302	14578.91886
303	14545.03846
304	14509.6191
305	14484.06554
306	14456.48413
307	14425.53408
308	14423.39359
309	14399.43909
310	14397.37577
311	14365.20758
312	14336.85331
313	14330.37783
314	14298.38205
315	14282.7243
316	14255.54636
317	14242.76418
318	14231.97078
319	14186.42777
320	14184.08382
321	14152.19533
322	14122.79415
323	14102.2723
324	14069.01855
325	14062.98532
326	14034.39573
327	14013.9948
328	13963.14958
329	13937.79052
330	13903.17883
331	13876.92047
332	13875.16316
333	13853.81169
334	13823.50531
335	13807.45118
336	13802.09455
337	13775.93169
338	13742.82673
339	13723.5173
340	13693.91066
341	13669.06582
342	13657.54183
343	13632.28881
344	13630.27042
345	13604.93801
346	13579.27281
347	13546.50094
348	13504.1063
349	13480.81855
350	13456.74517
351	13423.59986
352	13413.87676
353	13382.77774
354	13347.39809
355	13335.07049
356	13304.94095
357	13275.29586
358	13248.96705
359	13244.17156
360	13207.77086
361	13190.09982
362	13155.93671
363	13145.2743
364	13120.09168
365	13118.58163
366	13087.78424
367	13067.22653
368	13036.83696
369	13035.39689
370	13011.3164
371	12986.64777
372	12965.46047
373	12931.83535
374	12905.14375
375	12872.64287
376	12844.47314
377	12803.04339
378	12768.55608
379	12743.64044
380	12742.2113
381	12738.32126
382	12703.60607
383	12680.42155
384	12671.76929
385	12643.83805
386	12623.46574
387	12609.24142
