iter	Passed	Remaining
0	3	3259
1	5	2920
2	8	2798
3	11	2809
4	13	2778
5	16	2751
6	19	2728
7	21	2711
8	24	2695
9	27	2678
10	29	2672
11	32	2664
12	34	2653
13	37	2643
14	40	2635
15	42	2624
16	45	2626
17	48	2633
18	52	2694
19	55	2725
20	59	2761
21	62	2768
22	65	2776
23	68	2766
24	70	2759
25	73	2747
26	75	2738
27	78	2729
28	81	2719
29	83	2711
30	86	2704
31	89	2697
32	91	2689
33	94	2683
34	96	2673
35	99	2664
36	102	2657
37	104	2650
38	107	2641
39	109	2636
40	112	2628
41	114	2622
42	117	2616
43	120	2609
44	122	2604
45	125	2601
46	128	2595
47	130	2589
48	133	2584
49	135	2577
50	138	2573
51	140	2569
52	143	2563
53	146	2558
54	148	2552
55	151	2547
56	153	2541
57	157	2561
58	161	2583
59	164	2582
60	167	2583
61	171	2587
62	173	2582
63	176	2576
64	178	2571
65	181	2565
66	183	2559
67	187	2566
68	190	2564
69	193	2568
70	197	2580
71	201	2594
72	204	2595
73	207	2596
74	210	2591
75	213	2592
76	215	2587
77	218	2581
78	220	2575
79	223	2569
80	226	2564
81	229	2564
82	231	2561
83	234	2556
84	236	2550
85	239	2545
86	242	2540
87	244	2535
88	247	2530
89	249	2524
90	252	2519
91	254	2514
92	257	2510
93	259	2505
94	263	2507
95	265	2503
96	268	2500
97	271	2503
98	274	2501
99	278	2502
100	280	2498
101	283	2494
102	285	2490
103	288	2486
104	291	2481
105	293	2478
106	296	2473
107	298	2468
108	301	2463
109	304	2460
110	306	2457
111	309	2452
112	311	2448
113	314	2444
114	317	2440
115	319	2435
116	322	2435
117	325	2435
118	328	2430
119	331	2431
120	334	2428
121	336	2425
122	339	2420
123	342	2422
124	345	2421
125	348	2417
126	351	2414
127	353	2410
128	356	2407
129	359	2404
130	361	2400
131	364	2396
132	368	2402
133	371	2402
134	376	2413
135	380	2416
136	383	2413
137	385	2409
138	388	2406
139	395	2432
140	398	2428
141	401	2423
142	403	2419
143	407	2421
144	409	2417
145	413	2417
146	415	2413
147	418	2408
148	421	2409
149	424	2408
150	428	2406
151	430	2402
152	433	2398
153	436	2396
154	439	2397
155	442	2394
156	445	2390
157	447	2386
158	450	2381
159	453	2379
160	456	2378
161	458	2374
162	461	2370
163	464	2365
164	466	2363
165	468	2355
166	472	2354
167	477	2363
168	481	2367
169	485	2370
170	488	2367
171	490	2362
172	493	2358
173	495	2353
174	498	2349
175	501	2345
176	503	2342
177	506	2339
178	509	2335
179	511	2331
180	514	2328
181	517	2323
182	520	2322
183	522	2319
184	525	2314
185	528	2311
186	530	2307
187	533	2303
188	536	2302
189	539	2298
190	541	2294
191	544	2290
192	546	2287
193	549	2283
194	552	2281
195	555	2277
196	557	2273
197	560	2269
198	562	2265
199	565	2261
200	568	2258
201	570	2255
202	573	2251
203	575	2247
204	578	2244
205	582	2244
206	586	2247
207	590	2249
208	595	2252
209	599	2256
210	602	2254
211	607	2257
212	610	2255
213	613	2251
214	616	2251
215	620	2251
216	625	2256
217	628	2253
218	630	2249
219	634	2250
220	637	2248
221	642	2251
222	645	2247
223	648	2246
224	651	2244
225	654	2240
226	658	2243
227	661	2239
228	665	2241
229	669	2239
230	672	2239
231	675	2237
232	678	2233
233	681	2232
234	685	2231
235	690	2234
236	694	2236
237	698	2237
238	702	2235
239	707	2238
240	709	2235
241	713	2233
242	716	2232
243	719	2229
244	723	2228
245	725	2224
246	728	2222
247	732	2220
248	734	2216
249	737	2212
250	740	2210
251	745	2211
252	748	2210
253	752	2208
254	755	2207
255	758	2203
256	763	2206
257	766	2203
258	769	2202
259	773	2202
260	777	2201
261	781	2202
262	785	2201
263	789	2201
264	795	2207
265	801	2210
266	806	2212
267	811	2216
268	816	2219
269	820	2218
270	824	2217
271	828	2216
272	831	2213
273	833	2209
274	838	2209
275	841	2206
276	845	2206
277	848	2202
278	850	2198
279	853	2194
280	856	2191
281	860	2191
282	864	2190
283	868	2190
284	872	2189
285	876	2188
286	884	2196
287	887	2193
288	890	2190
289	893	2187
290	896	2184
291	901	2185
292	905	2184
293	909	2184
294	913	2182
295	916	2178
296	918	2175
297	921	2171
298	925	2169
299	928	2166
300	931	2163
301	934	2160
302	937	2156
303	940	2153
304	943	2150
305	946	2146
306	949	2144
307	954	2143
308	958	2142
309	961	2140
310	965	2138
311	969	2138
312	974	2138
313	978	2138
314	983	2137
315	987	2137
316	991	2135
317	994	2132
318	998	2131
319	1003	2133
320	1007	2130
321	1012	2132
322	1016	2131
323	1021	2131
324	1025	2129
325	1027	2125
326	1030	2121
327	1033	2117
328	1037	2115
329	1039	2111
330	1042	2107
331	1045	2103
332	1047	2098
333	1050	2095
334	1053	2092
335	1056	2087
336	1059	2084
337	1062	2080
338	1064	2076
339	1067	2073
340	1071	2069
341	1073	2065
342	1076	2061
343	1079	2058
344	1082	2054
345	1085	2051
346	1087	2047
347	1090	2043
348	1093	2040
349	1096	2036
350	1099	2032
351	1102	2029
352	1105	2025
353	1107	2021
354	1111	2019
355	1114	2016
356	1119	2016
357	1122	2012
358	1125	2008
359	1127	2004
360	1130	2000
361	1132	1996
362	1136	1993
363	1138	1989
364	1141	1985
365	1143	1981
366	1146	1977
367	1149	1973
368	1152	1970
369	1154	1966
370	1157	1962
371	1159	1958
372	1162	1954
373	1166	1951
374	1168	1947
375	1171	1944
376	1174	1940
377	1176	1936
378	1179	1932
379	1183	1930
380	1185	1926
381	1188	1922
382	1191	1918
383	1193	1914
384	1196	1910
385	1199	1907
386	1201	1903
387	1204	1899
388	1207	1896
389	1209	1892
390	1212	1888
391	1216	1886
392	1219	1883
393	1223	1882
394	1227	1879
395	1230	1876
396	1233	1873
397	1236	1869
398	1238	1865
399	1241	1861
400	1243	1857
401	1246	1854
402	1249	1850
403	1251	1846
404	1254	1842
405	1256	1838
406	1259	1835
407	1262	1831
408	1264	1827
409	1267	1823
410	1269	1819
411	1272	1815
412	1274	1811
413	1277	1808
414	1279	1804
415	1282	1800
416	1285	1796
417	1288	1793
418	1290	1789
419	1293	1785
420	1295	1782
421	1298	1778
422	1300	1774
423	1303	1770
424	1306	1767
425	1308	1763
426	1311	1759
427	1313	1755
428	1316	1752
429	1319	1748
430	1322	1745
431	1326	1744
432	1330	1742
433	1334	1740
434	1337	1737
435	1340	1733
436	1342	1730
437	1345	1726
438	1347	1722
439	1350	1718
440	1353	1715
441	1355	1711
442	1358	1707
443	1360	1704
444	1363	1700
445	1366	1697
446	1369	1694
447	1372	1690
448	1375	1687
449	1378	1684
450	1380	1680
451	1384	1678
452	1387	1675
453	1390	1671
454	1393	1669
455	1396	1665
456	1399	1662
457	1401	1658
458	1404	1655
459	1407	1652
460	1410	1649
461	1413	1646
462	1416	1642
463	1419	1639
464	1422	1636
465	1425	1633
466	1428	1630
467	1431	1627
468	1435	1625
469	1439	1622
470	1442	1620
471	1445	1617
472	1448	1614
473	1451	1610
474	1453	1606
475	1457	1603
476	1459	1600
477	1462	1596
478	1465	1593
479	1467	1589
480	1470	1586
481	1473	1583
482	1476	1580
483	1479	1577
484	1482	1574
485	1486	1572
486	1490	1570
487	1493	1566
488	1496	1563
489	1499	1560
490	1502	1557
491	1505	1553
492	1507	1550
493	1510	1547
494	1512	1543
495	1516	1540
496	1518	1537
497	1522	1534
498	1525	1531
499	1527	1527
500	1530	1524
501	1533	1521
502	1538	1519
503	1542	1518
504	1546	1515
505	1549	1512
506	1552	1509
507	1556	1507
508	1559	1503
509	1562	1500
510	1564	1497
511	1567	1494
512	1570	1491
513	1573	1487
514	1576	1484
515	1578	1480
516	1582	1478
517	1586	1476
518	1589	1473
519	1593	1470
520	1596	1467
521	1599	1464
522	1602	1461
523	1605	1458
524	1608	1455
525	1611	1452
526	1614	1449
527	1618	1446
528	1621	1443
529	1624	1440
530	1627	1437
531	1630	1433
532	1632	1430
533	1636	1427
534	1639	1424
535	1643	1422
536	1647	1420
537	1652	1419
538	1656	1416
539	1659	1413
540	1662	1410
541	1665	1407
542	1668	1404
543	1671	1400
544	1673	1397
545	1676	1394
546	1680	1391
547	1683	1388
548	1686	1385
549	1689	1382
550	1692	1379
551	1695	1376
552	1699	1373
553	1702	1370
554	1704	1366
555	1707	1363
556	1710	1360
557	1713	1357
558	1716	1354
559	1719	1351
560	1722	1347
561	1725	1344
562	1727	1341
563	1731	1338
564	1735	1335
565	1738	1332
566	1740	1329
567	1743	1325
568	1747	1323
569	1750	1320
570	1753	1317
571	1756	1314
572	1759	1311
573	1763	1309
574	1767	1306
575	1771	1303
